source,filename,relative_path,absolute_path,pages,sha256,title,author
EXEMPLAR,keep211.pdf,11th_maths/keep211.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep211.pdf,22,4e8bd68f79a25178691fa7ffb3676f759463b459098600ad01afe1ba112610a8,,
EXEMPLAR,keep212.pdf,11th_maths/keep212.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep212.pdf,17,e5375a7b3823e5c2496817be06cc73596657fa50ec7c9865e86fdd06362feebe,,
EXEMPLAR,keep213.pdf,11th_maths/keep213.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep213.pdf,21,bf835a3d2656d1057f83eeb16aae14337c2f91883bb35278b92613443fad7f52,,
EXEMPLAR,keep214.pdf,11th_maths/keep214.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep214.pdf,24,0bcca173430201872845b8c9eb951a12f02e88882b8262a4cbeb9b5361d9adea,,
EXEMPLAR,keep215.pdf,11th_maths/keep215.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep215.pdf,14,3fdf45591676e200bed7f896a7b8cccf61c9e2d4222766d5cdfc4382c2364f7d,,
EXEMPLAR,keep216.pdf,11th_maths/keep216.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep216.pdf,19,1ee7c3671b0717d14204e84bbe2b82bc54701235c1646e944326a66e056aad47,,
EXEMPLAR,keep217.pdf,11th_maths/keep217.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep217.pdf,18,841627f966f04957a510f1cdc2c77b315753421c1322bfb85cf8feb215991411,,
EXEMPLAR,keep218.pdf,11th_maths/keep218.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/11th_maths/keep218.pdf,14,eab0b82c79377a8852b497e9cb21cf8fc4a369f0917db0217617bd10745bbc76,,
EXEMPLAR,feep101.pdf,6th_maths/feep101.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/6th_maths/feep101.pdf,20,a82a34fff6a1e6d5c28c0b02b7eb9e776f1fced558501e663b0eba692dd55147,Class VI Unit 1_Number System.pmd,dtpcell13
EXEMPLAR,feep102.pdf,6th_maths/feep102.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/6th_maths/feep102.pdf,20,3c9f966a26572d62b52078b26e06c9f20adddb2eee71162a975148dcb9d0baad,GEOMETRY.pmd,admin
EXEMPLAR,feep103.pdf,6th_maths/feep103.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/6th_maths/feep103.pdf,12,e6096fee8f76136123e83a7ae8a758b7abfc75aaa724325b2f8f5f8259f4e28f,Ch_3 Integer.pmd,dtpcell13
EXEMPLAR,feep104.pdf,6th_maths/feep104.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/6th_maths/feep104.pdf,16,93234621e1010fb1863a4467df034326ef1953aad142fe9b126e568755ebb2ca,Fractions and Decimals.pmd,admin
EXEMPLAR,feep105.pdf,6th_maths/feep105.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/6th_maths/feep105.pdf,20,0ce6e59ffc58b5fbfaf2fa113ca203a917f6d3aebd0cbf9ebd38917418266e79,Data Handling.pmd,dtpcell13
EXEMPLAR,feep106.pdf,6th_maths/feep106.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/6th_maths/feep106.pdf,16,398ded71809b00a49ea3b5afc3bc43e2e992522d388bf014f3163b0559fef1b2,Mensuration.pmd,dtpcell13
EXEMPLAR,feep107.pdf,6th_maths/feep107.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/6th_maths/feep107.pdf,12,0d4317616e1f98ca2da62ded2536c7cda59a9d562838610cf105a6804d0fc6f8,ALGEBRA.pmd,admin
EXEMPLAR,feep108.pdf,6th_maths/feep108.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/6th_maths/feep108.pdf,16,6c3977c013e3a6c7506b25ce08f9658a8d536c7496b208383bd58262c61c3fdf,RATIO AND PROPORTION.pmd,admin
EXEMPLAR,feep109.pdf,6th_maths/feep109.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/6th_maths/feep109.pdf,16,638c8855330614e1a7729e41f16f3516c3dc576a3ee171a76b274dc342c8f5ea,Symmetry and Practical.pmd,admin
EXEMPLAR,feep1an.pdf,6th_maths/feep1an.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/6th_maths/feep1an.pdf,18,832143423f086ff74005db42bf7127b2bd612f451e13206d81c104d6c3a9d116,Answers.pmd,surenderkumar
EXEMPLAR,gemp101.pdf,7th_maths/gemp101.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/7th_maths/gemp101.pdf,25,3164c75fb12012d2958d139a62e607ff86fd824fca71f62513bb317eeb90bdb3,Unit-1 Inteters.pmd,dtpcell07
EXEMPLAR,gemp102.pdf,7th_maths/gemp102.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/7th_maths/gemp102.pdf,29,20ef4941e5523ea4528c5b7f16225ee7e9cbf9305be01b5a2e30500642edaa67,Unit-2 Fractions & Decimals.pmd,dtpcell07
EXEMPLAR,gemp103.pdf,7th_maths/gemp103.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/7th_maths/gemp103.pdf,35,77ae970fce865b3a2e4db08a70650b8bba2542978ec77c649cb13b5d38e76d3b,Unit-3 Data Handling.pmd,NCERT
EXEMPLAR,gemp104.pdf,7th_maths/gemp104.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/7th_maths/gemp104.pdf,22,aee72779156336d3d37cbe5182e483905f2cdf59d6dcf57c68b2a9c0c4949e96,Unit-4 simple equation.pmd,dtpcell07
EXEMPLAR,gemp105.pdf,7th_maths/gemp105.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/7th_maths/gemp105.pdf,33,ede98daf588f11cc2f2bf4b03f7e1f0af8bde80c5e5acc4573a242fc3513fd58,Unit- 5 Lines and Angles corrected.pmd,dtpcell07
EXEMPLAR,gemp106.pdf,7th_maths/gemp106.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/7th_maths/gemp106.pdf,36,99e62bcac73fafad91789273cafa724b9daa3f5d77522dffbed52920542d6bc8,Unit_6 Triangles.pmd,dtpcell07
EXEMPLAR,gemp107.pdf,7th_maths/gemp107.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/7th_maths/gemp107.pdf,43,6762bd4cca26b996d42480149caa73e62145497ce6b5257183bc1ee8c53d0dc1,Comparing Quantities.pmd,dtpcell07
EXEMPLAR,gemp108.pdf,7th_maths/gemp108.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/7th_maths/gemp108.pdf,25,425e39fffee0715a81b20c950ac835210fa2ec072beb58b1c9ad1cc940565dd2,Rational Numbers.pmd,dtpcell07
EXEMPLAR,gemp109.pdf,7th_maths/gemp109.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/7th_maths/gemp109.pdf,48,2406523cb5a469e0192819e3bb8f52618dd01302e1ecd3c9da0fb3635a813064,Perimeter and Area.pmd,dtpcell07
EXEMPLAR,gemp110.pdf,7th_maths/gemp110.pdf,/home/jiitcah.05/nlp_research_module/datasets/exemplar_raw/7th_maths/gemp110.pdf,27,6180b6f09ee9b5d3c49715f029eae06d718fe2b7c10b264b3f4821f2963389e3,Unit-10 Algebraic Expressions.pmd,dtpcell07
